Counties,FIPS,"No. of people age 65y and older, in thousands",Prevalence,"Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"Autauga County, Alabama",1001,9.1,11.4,"11.4 (10.8, 11.9)","1 (1, 1.1)",10.2,56,14.8,1.2
"Baldwin County, Alabama",1003,49.5,10,"10 (9.5, 10.5)","4.9 (4.7, 5.2)",9.2,53.9,5,1.5
"Barbour County, Alabama",1005,5,13.5,"13.5 (12.9, 14.1)","0.7 (0.6, 0.7)",10.4,56.5,37.1,1.1
"Bibb County, Alabama",1007,3.8,11.3,"11.3 (10.8, 11.9)","0.4 (0.4, 0.5)",10.5,55.7,13.7,1.5
"Blount County, Alabama",1009,11,10.1,"10.1 (9.6, 10.7)","1.1 (1.1, 1.2)",10.1,54.6,1.4,2.7
"Bullock County, Alabama",1011,1.8,16.7,"16.7 (16, 17.4)","0.3 (0.3, 0.3)",11.8,56.2,64.5,1.8
"Butler County, Alabama",1013,4.2,14.5,"14.5 (13.9, 15.1)","0.6 (0.6, 0.6)",13.9,59.1,33.9,0.7
"Calhoun County, Alabama",1015,21,11.1,"11.1 (10.6, 11.7)","2.3 (2.2, 2.5)",10.2,57.2,14.9,1.3
"Chambers County, Alabama",1017,6.8,13,"13 (12.4, 13.6)","0.9 (0.8, 0.9)",10.9,57.1,31.5,0.9
"Cherokee County, Alabama",1019,6.4,10.1,"10.1 (9.6, 10.6)","0.6 (0.6, 0.7)",9.5,52.8,4,0.6
"Chilton County, Alabama",1021,7.8,10.5,"10.5 (10, 11.1)","0.8 (0.8, 0.9)",10.2,54.9,8.2,1.6
"Choctaw County, Alabama",1023,3,14.2,"14.2 (13.5, 14.8)","0.4 (0.4, 0.4)",11.8,56.9,37.7,0.7
"Clarke County, Alabama",1025,4.9,14,"14 (13.4, 14.7)","0.7 (0.7, 0.7)",12.1,56,33.5,0.7
"Clay County, Alabama",1027,2.8,11.6,"11.6 (11, 12.2)","0.3 (0.3, 0.3)",10.9,55,11.2,1.3
"Cleburne County, Alabama",1029,3,10.6,"10.6 (10, 11.1)","0.3 (0.3, 0.3)",11.5,55.5,3.5,0.8
"Coffee County, Alabama",1031,9.4,11.6,"11.6 (11, 12.1)","1.1 (1, 1.1)",10.9,56.2,14.4,2.6
