County, FIPS,Value_Index
"Autauga County, Alabama",1001,0.513
"Baldwin County, Alabama",1003,0.3103
"Barbour County, Alabama",1005,0.9927
"Bibb County, Alabama",1007,0.8078
"Blount County, Alabama",1009,0.5137
"Bullock County, Alabama",1011,0.831
"Butler County, Alabama",1013,0.6843
"Calhoun County, Alabama",1015,0.7349
"Chambers County, Alabama",1017,0.8074
"Cherokee County, Alabama",1019,0.3269
"Chilton County, Alabama",1021,0.7222
"Choctaw County, Alabama",1023,0.7116
"Clarke County, Alabama",1025,0.8552
"Clay County, Alabama",1027,0.5309
"Cleburne County, Alabama",1029,0.4542
"Coffee County, Alabama",1031,0.6489
"Colbert County, Alabama",1033,0.3475
"Conecuh County, Alabama",1035,0.6575
"Coosa County, Alabama",1037,0.436
"Covington County, Alabama",1039,0.7075
"Crenshaw County, Alabama",1041,0.6025
"Cullman County, Alabama",1043,0.5156
"Dale County, Alabama",1045,0.8065
"Dallas County, Alabama",1047,0.9157
"DeKalb County, Alabama",1049,0.7387
"Elmore County, Alabama",1051,0.4564
"Escambia County, Alabama",1053,0.8708
"Etowah County, Alabama",1055,0.6483
"Fayette County, Alabama",1057,0.6725
"Franklin County, Alabama",1059,0.7298
"Geneva County, Alabama",1061,0.5691
"Greene County, Alabama",1063,0.9513
"Hale County, Alabama",1065,0.9351
"Henry County, Alabama",1067,0.5646
"Houston County, Alabama",1069,0.7021
"Jackson County, Alabama",1071,0.5528
"Jefferson County, Alabama",1073,0.7562
"Lamar County, Alabama",1075,0.5519
"Lauderdale County, Alabama",1077,0.4745
"Lawrence County, Alabama",1079,0.4239
"Lee County, Alabama",1081,0.6795
"Limestone County, Alabama",1083,0.4602
"Lowndes County, Alabama",1085,0.8997
"Macon County, Alabama",1087,0.8896
"Madison County, Alabama",1089,0.3596
"Marengo County, Alabama",1091,0.8113
"Marion County, Alabama",1093,0.6833
"Marshall County, Alabama",1095,0.6222
"Mobile County, Alabama",1097,0.7947
"Monroe County, Alabama",1099,0.7241
"Montgomery County, Alabama",1101,0.9032
"Morgan County, Alabama",1103,0.6413
"Perry County, Alabama",1105,0.9137
"Pickens County, Alabama",1107,0.9379
"Pike County, Alabama",1109,0.8059
"Randolph County, Alabama",1111,0.5347
"Russell County, Alabama",1113,0.8918
"St. Clair County, Alabama",1115,0.3224
"Shelby County, Alabama",1117,0.1155
"Sumter County, Alabama",1119,0.9653
"Talladega County, Alabama",1121,0.8768
"Tallapoosa County, Alabama",1123,0.8927
"Tuscaloosa County, Alabama",1125,0.682
"Walker County, Alabama",1127,0.6875
"Washington County, Alabama",1129,0.4599
"Wilcox County, Alabama",1131,0.9208
"Winston County, Alabama",1133,0.6852
"Aleutians East Borough, Alaska",2013,0.6442
"Aleutians West Census Area, Alaska",2016,0.4959
"Anchorage Borough, Alaska",2020,0.5761
"Bethel Census Area, Alaska",2050,0.9542
"Bristol Bay Borough, Alaska",2060,0.2314
"Denali, Alaska",2068,0.2155
"Dillingham Census Area, Alaska",2070,0.9363
"Fairbanks North Star, Alaska",2090,0.5264
"Haines Borough, Alaska",2100,0.5248
"Hoonah-Angoon Census Area, Alaska",2105,0.5127
"Juneau Borough, Alaska",2110,0.3526
"Kenai Peninsula Borough, Alaska",2122,0.5236
"Ketchikan Gateway Borough, Alaska",2130,0.6518
"Kodiak Island Borough, Alaska",2150,0.7667
"Kusilvak/Wade Hampton Census Area, Alaska",2158,0.8988
"Lake and Peninsula Borough, Alaska",2164,0.852
"Matanuska-Susitna Borough, Alaska",2170,0.499
"Nome Census Area, Alaska",2180,0.9367
"North Slope Borough, Alaska",2185,0.8555
"Northwest Arctic Borough, Alaska",2188,0.9153
"Petersburg Census Area, Alaska",2195,0.6556
"Prince of Wales-Hyder Census Area, Alaska",2198,0.8339
"Sitka Borough, Alaska",2220,0.4809
"Skagway Municipality, Alaska",2230,0.353
"Southeast Fairbanks Census Area, Alaska",2240,0.6878
